Length;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;Gender;;;;;;;;;;;;;;
83;-0,3521;11,0415;0,08246;8,7;9,4;10,2;11;12;13,1;14,3;Male;;;;;;;;;;;;;;
83,5;-0,3833;10,8578;0,08906;8,4;9,1;9,9;10,9;11,9;13,1;14,4;Female;;;;;;;;;;;;;;
83,5;-0,3521;11,1516;0,08231;8,8;9,5;10,3;11,2;12,1;13,2;14,4;Male;;;;;;;;;;;;;;
84;-0,3833;10,9767;0,08903;8,5;9,2;10,1;11;12;13,2;14,5;Female;;;;;;;;;;;;;;
84;-0,3521;11,2651;0,08215;8,9;9,6;10,4;11,3;12,2;13,3;14,6;Male;;;;;;;;;;;;;;
84,5;-0,3833;11,0974;0,089;8,6;9,3;10,2;11,1;12,1;13,3;14,7;Female;;;;;;;;;;;;;;
84,5;-0,3521;11,3817;0,08198;9;9,7;10,5;11,4;12,4;13,5;14,7;Male;;;;;;;;;;;;;;
85;-0,3833;11,2198;0,08898;8,7;9,4;10,3;11,2;12,3;13,5;14,9;Female;;;;;;;;;;;;;;
85;-0,3521;11,5007;0,08181;9,1;9,8;10,6;11,5;12,5;13,6;14,9;Male;;;;;;;;;;;;;;
85,5;-0,3833;11,3435;0,08897;8,8;9,5;10,4;11,3;12,4;13,6;15;Female;;;;;;;;;;;;;;
85,5;-0,3521;11,6218;0,08163;9,2;9,9;10,7;11,6;12,6;13,7;15;Male;;;;;;;;;;;;;;
86;-0,3833;11,4684;0,08895;8,9;9,7;10,5;11,5;12,6;13,8;15,2;Female;;;;;;;;;;;;;;
86;-0,3521;11,7444;0,08145;9,3;10;10,8;11,7;12,8;13,9;15,2;Male;;;;;;;;;;;;;;
86,5;-0,3833;11,594;0,08895;9;9,8;10,6;11,6;12,7;13,9;15,4;Female;;;;;;;;;;;;;;
86,5;-0,3521;11,8678;0,08128;9,4;10,1;11;11,9;12,9;14;15,3;Male;;;;;;;;;;;;;;
87;-0,3833;11,7201;0,08895;9,1;9,9;10,7;11,7;12,8;14,1;15,5;Female;;;;;;;;;;;;;;
87;-0,3521;11,9916;0,08111;9,5;10,2;11,1;12;13;14,2;15,5;Male;;;;;;;;;;;;;;
87,5;-0,3833;11,8461;0,08895;9,2;10;10,9;11,8;13;14,2;15,7;Female;;;;;;;;;;;;;;
87,5;-0,3521;12,1152;0,08096;9,6;10,4;11,2;12,1;13,2;14,3;15,6;Male;;;;;;;;;;;;;;
88;-0,3833;11,972;0,08896;9,3;10,1;11;12;13,1;14,4;15,9;Female;;;;;;;;;;;;;;
88;-0,3521;12,2382;0,08082;9,7;10,5;11,3;12,2;13,3;14,5;15,8;Male;;;;;;;;;;;;;;
88,5;-0,3833;12,0976;0,08898;9,4;10,2;11,1;12,1;13,2;14,5;16;Female;;;;;;;;;;;;;;
88,5;-0,3521;12,3603;0,08069;9,8;10,6;11,4;12,4;13,4;14,6;15,9;Male;;;;;;;;;;;;;;
89;-0,3833;12,2229;0,089;9,5;10,3;11,2;12,2;13,4;14,7;16,2;Female;;;;;;;;;;;;;;
89;-0,3521;12,4815;0,08058;9,9;10,7;11,5;12,5;13,5;14,7;16,1;Male;;;;;;;;;;;;;;
89,5;-0,3833;12,3477;0,08903;9,6;10,4;11,3;12,3;13,5;14,8;16,4;Female;;;;;;;;;;;;;;
89,5;-0,3521;12,6017;0,08048;10;10,8;11,6;12,6;13,7;14,9;16,2;Male;;;;;;;;;;;;;;
90;-0,3833;12,4723;0,08906;9,7;10,5;11,4;12,5;13,7;15;16,5;Female;;;;;;;;;;;;;;
90;-0,3521;12,7209;0,08041;10,1;10,9;11,8;12,7;13,8;15;16,4;Male;;;;;;;;;;;;;;
90,5;-0,3833;12,5965;0,08909;9,8;10,6;11,5;12,6;13,8;15,1;16,7;Female;;;;;;;;;;;;;;
90,5;-0,3521;12,8392;0,08034;10,2;11;11,9;12,8;13,9;15,1;16,5;Male;;;;;;;;;;;;;;
91;-0,3833;12,7205;0,08913;9,9;10,7;11,7;12,7;13,9;15,3;16,9;Female;;;;;;;;;;;;;;
91;-0,3521;12,9569;0,0803;10,3;11,1;12;13;14,1;15,3;16,7;Male;;;;;;;;;;;;;;
91,5;-0,3833;12,8443;0,08918;10;10,8;11,8;12,8;14,1;15,5;17;Female;;;;;;;;;;;;;;
91,5;-0,3521;13,0742;0,08026;10,4;11,2;12,1;13,1;14,2;15,4;16,8;Male;;;;;;;;;;;;;;
92;-0,3833;12,9681;0,08923;10,1;10,9;11,9;13;14,2;15,6;17,2;Female;;;;;;;;;;;;;;
92;-0,3521;13,191;0,08025;10,5;11,3;12,2;13,2;14,3;15,6;17;Male;;;;;;;;;;;;;;
92,5;-0,3833;13,092;0,08928;10,1;11;12;13,1;14,3;15,8;17,4;Female;;;;;;;;;;;;;;
92,5;-0,3521;13,3075;0,08025;10,6;11,4;12,3;13,3;14,4;15,7;17,1;Male;;;;;;;;;;;;;;
93;-0,3833;13,2158;0,08934;10,2;11,1;12,1;13,2;14,5;15,9;17,5;Female;;;;;;;;;;;;;;
93;-0,3521;13,4239;0,08026;10,7;11,5;12,4;13,4;14,6;15,8;17,3;Male;;;;;;;;;;;;;;
93,5;-0,3833;13,3399;0,08941;10,3;11,2;12,2;13,3;14,6;16,1;17,7;Female;;;;;;;;;;;;;;
93,5;-0,3521;13,5404;0,08029;10,7;11,6;12,5;13,5;14,7;16;17,4;Male;;;;;;;;;;;;;;
94;-0,3833;13,4643;0,08948;10,4;11,3;12,3;13,5;14,7;16,2;17,9;Female;;;;;;;;;;;;;;
94;-0,3521;13,6572;0,08034;10,8;11,7;12,6;13,7;14,8;16,1;17,6;Male;;;;;;;;;;;;;;
94,5;-0,3833;13,5892;0,08955;10,5;11,4;12,4;13,6;14,9;16,4;18;Female;;;;;;;;;;;;;;
94,5;-0,3521;13,7746;0,0804;10,9;11,8;12,7;13,8;14,9;16,3;17,7;Male;;;;;;;;;;;;;;
95;-0,3833;13,7146;0,08963;10,6;11,5;12,6;13,7;15;16,5;18,2;Female;;;;;;;;;;;;;;
95;-0,3521;13,8928;0,08047;11;11,9;12,8;13,9;15,1;16,4;17,9;Male;;;;;;;;;;;;;;
95,5;-0,3833;13,8408;0,08972;10,7;11,6;12,7;13,8;15,2;16,7;18,4;Female;;;;;;;;;;;;;;
95,5;-0,3521;14,012;0,08056;11,1;12;12,9;14;15,2;16,5;18;Male;;;;;;;;;;;;;;
96;-0,3833;13,9676;0,08981;10,8;11,7;12,8;14;15,3;16,8;18,6;Female;;;;;;;;;;;;;;
96;-0,3521;14,1325;0,08067;11,2;12,1;13,1;14,1;15,3;16,7;18,2;Male;;;;;;;;;;;;;;
96,5;-0,3833;14,0953;0,0899;10,9;11,8;12,9;14,1;15,4;17;18,7;Female;;;;;;;;;;;;;;
96,5;-0,3521;14,2544;0,08078;11,3;12,2;13,2;14,3;15,5;16,8;18,4;Male;;;;;;;;;;;;;;
97;-0,3833;14,2239;0,09;11;12;13;14,2;15,6;17,1;18,9;Female;;;;;;;;;;;;;;
97;-0,3521;14,3782;0,08092;11,4;12,3;13,3;14,4;15,6;17;18,5;Male;;;;;;;;;;;;;;
97,5;-0,3833;14,3537;0,0901;11,1;12,1;13,1;14,4;15,7;17,3;19,1;Female;;;;;;;;;;;;;;
97,5;-0,3521;14,5038;0,08106;11,5;12,4;13,4;14,5;15,7;17,1;18,7;Male;;;;;;;;;;;;;;
98;-0,3833;14,4848;0,09021;11,2;12,2;13,3;14,5;15,9;17,5;19,3;Female;;;;;;;;;;;;;;
98;-0,3521;14,6316;0,08122;11,6;12,5;13,5;14,6;15,9;17,3;18,9;Male;;;;;;;;;;;;;;
98,5;-0,3833;14,6174;0,09033;11,3;12,3;13,4;14,6;16;17,6;19,5;Female;;;;;;;;;;;;;;
98,5;-0,3521;14,7614;0,08139;11,7;12,6;13,6;14,8;16;17,5;19,1;Male;;;;;;;;;;;;;;
99;-0,3833;14,7519;0,09044;11,4;12,4;13,5;14,8;16,2;17,8;19,6;Female;;;;;;;;;;;;;;
99;-0,3521;14,8934;0,08157;11,8;12,7;13,7;14,9;16,2;17,6;19,2;Male;;;;;;;;;;;;;;
99,5;-0,3833;14,8882;0,09057;11,5;12,5;13,6;14,9;16,3;18;19,8;Female;;;;;;;;;;;;;;
99,5;-0,3521;15,0275;0,08177;11,9;12,8;13,9;15;16,3;17,8;19,4;Male;;;;;;;;;;;;;;
